"State/Territory",Postcode2,"Individuals 2003–04 no.","Median3 taxable income 2003–04 $","Average3 taxable income 2003–04 $","Individuals 2013–14 no.","Median3 taxable income 2013–14 $","Average3 taxable income 2013–14 $","Individuals 2014–15 no.","Median3 taxable income 2014–15 $","Average3 taxable income 2014–15 $","Individuals 2015–16 no.","Median3 taxable income 2015–16 $","Average3 taxable income 2015–16 $","Individuals 2016–17no.","Median3 taxable income 2016–17$","Average3 taxable income 2016–17$"
NSW,2190,"10,183","23,050","27,375","10,503","35,374","43,925","10,773","35,984","44,438","11,114","36,437","45,842","11,555","36,928","46,618",
NSW,2191,"2,865","27,180","32,075","3,041","39,962","49,945","3,174","41,009","51,431","3,197","42,784","53,725","3,341","43,805","54,981",
NSW,2192,"6,329","26,242","29,768","6,416","37,517","43,585","6,496","38,427","44,587","6,734","39,364","45,829","7,003","39,154","46,619",
NSW,2193,"7,728","30,180","34,959","8,250","44,059","55,000","8,503","45,092","56,260","9,039","47,071","60,292","9,916","46,399","58,677",
NSW,2194,"10,401","21,851","25,128","11,985","33,638","39,332","12,432","34,586","40,403","13,119","35,610","41,593","13,883","35,971","42,621",
NSW,2195,"10,239","21,388","24,802","11,278","31,840","37,033","11,422","31,803","37,644","12,138","31,506","37,981","12,659","31,594","41,139",
NSW,2196,"13,986","24,688","28,325","14,329","36,219","42,895","14,598","37,047","43,850","15,030","37,152","44,662","15,602","37,745","45,565",
NSW,2197,"3,839","27,494","31,350","3,960","38,355","45,160","3,983","38,871","48,229","4,029","38,899","47,122","4,215","39,302","47,854",
NSW,2198,"4,976","30,707","34,587","4,437","40,523","50,070","4,481","40,848","49,657","4,425","41,085","51,043","4,467","40,795","52,007",
NSW,2199,"7,109","26,515","30,380","7,513","37,638","44,280","7,700","37,340","45,334","7,981","38,548","45,533","8,264","38,657","45,717",
NSW,2200,"17,411","25,180","28,768","18,564","36,676","43,371","19,273","36,647","43,915","20,077","36,889","44,334","21,143","37,109","44,708",
NSW,2203,"8,412","34,089","39,086","8,085","50,960","61,961","8,217","51,073","62,616","8,392","52,889","65,531","8,590","54,549","67,575",
NSW,2204,"13,670","29,448","34,114","14,543","47,155","58,003","15,036","48,098","59,313","15,645","50,309","62,058","16,032","51,956","64,947",
NSW,2205,"6,769","27,913","32,248","8,768","42,992","51,522","10,168","42,227","51,384","11,853","42,538","51,491","13,322","42,994","53,023",
NSW,2206,"10,866","29,935","35,436","10,684","45,005","59,558","10,883","46,367","61,434","11,087","48,313","63,300","11,327","49,702","64,396",
NSW,2207,"14,542","29,931","34,848","14,941","42,744","52,451","15,130","43,301","53,675","15,419","43,671","54,461","15,964","44,679","56,027",
NSW,2208,"6,830","28,545","33,394","6,920","41,104","52,108","7,045","42,006","53,428","7,166","43,747","56,396","7,303","44,099","56,666",
NSW,2209,"8,152","27,744","32,705","8,719","39,299","48,469","8,763","39,704","49,458","9,022","40,531","50,630","9,224","41,257","51,242",
NSW,2210,"15,678","29,328","35,758","15,623","40,933","53,308","15,995","41,661","53,694","16,670","42,205","54,497","17,585","42,956","55,741",
NSW,2211,"8,984","31,323","35,714","9,331","43,938","51,726","9,598","44,174","52,082","9,771","44,817","53,122","10,077","45,677","53,858",
NSW,2212,"7,148","30,885","34,381","8,126","43,706","51,058","8,406","44,363","52,206","8,647","45,243","52,900","8,940","45,822","53,633",
NSW,2213,"11,378","32,050","36,782","11,780","46,220","56,275","12,023","46,935","57,036","12,275","47,952","58,295","12,656","48,605","58,825",
NSW,2214,"2,757","33,901","37,534","2,370","45,385","53,502","2,350","45,995","54,887","2,343","47,783","55,749","2,366","47,388","56,967",
NSW,2216,"14,694","27,435","31,629","16,355","40,639","48,978","16,831","41,000","49,472","17,316","42,129","50,935","17,927","42,424","51,558",
NSW,2217,"14,423","29,172","34,901","15,543","42,595","52,756","16,255","44,024","54,590","16,783","44,507","55,129","17,355","45,360","56,033",
NSW,2218,"8,240","30,218","34,472","9,334","41,032","48,563","9,479","40,849","49,040","9,907","41,582","50,107","10,311","41,398","50,054",
NSW,2219,"7,352","32,090","39,718","7,547","46,521","62,724","7,806","47,035","66,019","7,898","48,202","65,010","8,077","49,238","66,263",
NSW,2220,"15,275","25,909","31,244","17,326","36,241","45,269","17,926","35,957","46,493","18,954","36,642","46,075","20,087","35,834","45,309",
NSW,2221,"9,752","32,719","46,839","9,883","45,024","68,124","10,026","45,767","69,656","10,254","46,452","70,221","10,438","47,367","71,605",
NSW,2222,"6,915","31,273","36,315","7,291","42,111","52,077","7,562","42,477","52,479","7,739","42,330","53,660","8,021","42,895","53,171",
NSW,2223,"12,330","34,283","42,772","12,972","47,120","64,143","13,101","47,927","65,290","13,223","49,823","67,915","13,504","50,223","68,444",
NSW,2224,"9,008","31,953","44,399","8,493","43,623","63,614","8,513","44,206","65,707","8,633","45,563","71,112","8,727","47,431","70,637",
NSW,2225,"3,468","35,395","45,622","3,378","49,881","72,184","3,418","51,821","75,058","3,475","53,403","79,848","3,484","55,097","77,487",
NSW,2226,"7,805","35,047","42,187","7,540","50,048","64,416","7,551","51,309","66,410","7,552","52,418","69,158","7,720","53,140","70,130",
NSW,2227,"8,895","34,223","41,591","8,753","47,505","63,114","8,888","49,322","65,948","8,975","50,920","67,047","9,124","52,177","68,753",
NSW,2228,"11,012","32,021","39,324","10,904","45,548","60,536","10,987","46,653","62,363","11,103","48,232","66,028","11,258","48,977","65,044",
NSW,2229,"17,408","33,488","43,908","17,929","47,310","72,588","17,939","48,410","69,491","18,050","50,185","72,982","18,219","51,690","74,623",
NSW,2230,"18,830","34,730","44,832","19,272","49,777","81,251","19,534","51,252","76,754","19,686","53,565","79,351","19,884","54,789","80,580",
NSW,2231,"1,304","32,392","36,608","1,318","46,642","60,848","1,332","46,220","61,827","1,345","49,371","61,984","1,341","48,652","61,613",
NSW,2232,"20,375","34,277","39,272","19,588","47,739","58,981","19,697","48,564","60,334","20,079","50,378","62,451","20,272","51,318","63,598",
NSW,2233,"19,778","33,073","38,444","17,993","47,437","56,531","18,021","48,435","58,027","18,012","49,937","60,136","18,177","50,573","60,538",
NSW,2234,"20,441","33,335","42,132","20,127","48,311","62,372","20,232","49,259","63,853","20,332","50,562","65,146","20,231","51,978","66,945",
NSW,2250,"38,771","28,956","34,833","37,112","40,826","50,969","37,373","41,720","52,578","37,838","42,842","53,445","38,668","43,408","54,054",
NSW,2251,"18,223","26,883","34,417","18,123","39,918","51,867","18,241","40,819","53,434","18,567","42,070","55,328","18,848","42,559","56,865",
NSW,2256,"7,920","27,101","32,773","7,685","38,326","48,817","7,722","39,684","49,543","7,918","39,860","50,813","8,131","41,069","51,823",
NSW,2257,"14,882","26,174","31,922","14,680","37,008","48,040","15,089","38,294","48,638","15,488","38,727","49,263","15,799","39,730","50,808",
NSW,2258,"3,018","30,750","37,688","3,031","43,423","55,528","3,140","43,512","56,419","3,136","45,660","58,412","3,191","46,747","59,213",
NSW,2259,"25,322","26,866","31,662","28,029","39,886","48,750","28,671","40,500","49,260","29,681","41,686","50,444","30,966","42,375","50,509",
NSW,2260,"13,745","28,289","39,200","14,134","41,866","58,927","14,328","43,065","60,664","14,597","44,634","63,051","14,981","45,021","65,253",
NSW,2261,"25,888","25,720","30,382","28,827","39,425","46,965","29,316","40,577","49,754","30,177","41,761","49,120","31,059","42,189","49,815",
NSW,2262,"9,078","26,048","28,949","9,066","38,910","44,812","9,341","39,072","45,407","9,682","39,881","45,926","9,960","40,547","46,282",
NSW,2263,"10,949","24,895","28,723","10,349","37,351","44,093","10,601","37,790","44,597","10,941","39,152","45,693","11,189","39,666","46,403",
NSW,2264,"6,873","25,423","30,878","6,816","37,478","47,738","7,048","37,832","47,948","7,337","38,885","49,344","7,655","39,695","49,957",
NSW,2265,"2,599","23,384","29,026","2,762","37,918","48,194","2,814","39,796","49,800","2,938","40,714","50,935","3,189","42,326","52,819",
NSW,2267,"1,560","26,517","34,236","1,537","36,792","52,965","1,525","39,284","52,314","1,565","38,407","50,668","1,560","40,081","51,489",
NSW,2278,"1,504","28,615","31,795","1,444","43,034","50,903","1,473","43,466","50,869","1,456","45,445","51,892","1,453","45,956","52,389",
NSW,2280,"14,817","29,103","35,721","14,760","42,265","57,200","14,822","42,249","55,911","15,094","43,336","56,457","15,264","43,392","56,925",
NSW,2281,"7,072","25,095","30,848","7,150","39,555","51,069","7,180","40,512","52,622","7,424","41,138","52,957","7,483","41,512","53,042",
NSW,2282,"9,112","29,581","36,454","8,750","43,893","58,666","8,712","44,840","59,378","8,921","45,237","60,264","9,066","45,793","59,684",
NSW,2283,"12,787","26,988","34,388","12,460","40,032","55,131","12,365","40,662","53,499","12,624","40,851","53,937","12,747","41,271","55,435",
NSW,2284,"5,245","27,521","31,703","5,473","40,422","50,162","5,532","41,162","50,310","5,602","41,901","50,959","5,744","43,576","52,583",
NSW,2285,"13,937","28,787","32,243","15,912","44,091","51,460","16,072","45,261","52,456","16,702","45,808","53,210","17,266","46,802","53,751",
NSW,2286,"1,904","28,388","31,071","1,943","42,279","48,891","1,992","42,341","48,818","2,086","43,346","49,727","2,248","44,723","50,303",
NSW,2287,"17,541","29,286","32,990","18,700","42,949","51,727","18,970","43,740","52,527","19,541","44,426","52,981","20,290","44,663","53,104",
NSW,2289,"10,756","29,526","34,938","11,270","44,641","55,138","11,183","45,711","56,303","11,330","46,526","57,591","11,526","46,813","58,322",
NSW,2290,"18,568","28,519","34,612","18,601","43,066","54,968","18,664","43,755","55,331","18,987","44,510","56,004","19,358","45,293","56,684",
NSW,2291,"8,703","32,867","43,743","8,869","50,337","75,109","8,835","50,329","75,806","8,878","51,961","78,210","9,008","52,035","80,694",
NSW,2292,"1,176","29,588","33,410","1,371","45,452","53,936","1,392","46,154","53,902","1,451","47,742","56,172","1,490","47,298","56,498",
NSW,2293,"1,220","28,162","32,578","1,591","44,111","55,232","1,691","44,820","55,542","1,661","47,724","58,950","1,673","49,998","59,789",
NSW,2294,875,"26,063","30,231","1,097","44,589","51,950","1,121","45,830","54,136","1,143","46,604","55,133","1,182","48,043","57,834",
NSW,2295,"2,390","27,188","31,927","2,943","44,366","55,157","3,201","44,655","55,787","3,431","45,890","56,607","3,732","47,017","57,046",
NSW,2296,747,"26,445","30,708","1,057","43,473","51,641","1,077","45,267","52,426","1,107","44,753","54,209","1,109","48,250","55,428",
NSW,2297,806,"27,321","30,343",831,"42,235","50,397",877,"42,207","51,159",900,"44,405","52,562",929,"46,588","55,527",
NSW,2298,"4,342","27,114","30,463","4,551","41,701","48,694","4,566","42,534","49,787","4,695","42,735","50,251","4,898","43,772","50,712",
NSW,2299,"5,355","26,645","31,546","5,530","41,285","50,742","5,551","41,506","51,191","5,659","42,507","51,856","5,876","42,908","52,268",
NSW,2300,"6,453","30,493","43,927","7,108","49,602","86,482","7,194","50,012","78,733","7,351","51,267","77,920","7,548","53,145","78,477",
NSW,2302,201,"28,812","33,778",340,"47,124","55,058",335,"46,832","56,965",393,"48,363","56,050",525,"50,602","59,969",
NSW,2303,"5,127","29,588","39,120","5,174","43,792","61,921","5,193","44,671","62,862","5,216","44,968","65,896","5,346","46,974","65,016",
NSW,2304,"7,438","27,681","30,631","7,801","43,129","48,936","7,821","42,910","49,339","8,005","43,825","50,622","8,267","44,302","51,131",
NSW,2305,"7,250","31,911","39,253","7,307","47,278","62,523","7,374","48,151","63,427","7,486","49,242","64,681","7,573","50,118","66,246",
NSW,2306,"1,074","19,051","22,553",900,"34,968","38,275",899,"35,940","38,346",887,"37,105","39,853",893,"37,225","39,724",
NSW,2307,"1,727","25,560","28,226","1,735","38,402","43,588","1,755","38,677","43,001","1,840","40,494","44,530","1,938","41,024","45,152",
NSW,2311,498,"19,797","27,648",484,"30,826","39,369",497,"31,695","42,039",499,"33,541","42,092",495,"32,877","42,129",
NSW,2312,702,"19,513","21,918",708,"29,731","38,891",715,"30,434","37,284",753,"33,582","38,691",749,"34,343","39,797",
NSW,2315,"7,185","23,382","31,655","7,846","35,282","49,124","7,897","35,314","49,511","8,081","36,072","50,766","8,233","36,754","51,144",
NSW,2316,"2,884","24,348","29,669","3,021","36,192","51,705","3,078","37,110","49,719","3,149","37,436","48,743","3,158","37,738","48,718",
NSW,2317,"3,184","23,085","31,281","3,327","35,459","47,765","3,354","35,135","47,752","3,474","35,400","49,443","3,555","35,482","49,884",
NSW,2318,"5,970","28,749","33,166","6,488","43,040","52,249","6,508","44,029","53,295","6,770","45,218","54,040","6,913","45,253","54,366",
NSW,2319,"2,920","25,473","29,415","2,969","37,568","45,829","2,937","38,402","46,197","3,074","38,557","46,614","3,069","37,866","46,183",
NSW,2320,"13,376","29,322","35,534","17,155","44,758","59,968","17,748","44,985","59,084","18,472","45,350","58,542","19,067","45,868","60,168",
NSW,2321,"5,458","29,038","36,209","7,261","44,374","57,414","7,700","45,105","58,114","8,091","45,943","57,517","8,659","47,749","59,029",
NSW,2322,"9,105","29,332","33,137","9,420","44,074","52,771","9,549","44,128","52,395","10,097","44,626","53,181","10,656","46,147","53,921",
NSW,2323,"13,170","28,982","34,171","13,664","43,932","54,092","13,519","44,590","54,496","13,777","44,863","54,607","14,154","45,326","54,864",
NSW,2324,"11,546","25,552","30,919","11,638","38,574","48,176","11,587","38,823","47,213","11,768","39,848","48,598","12,152","40,252","48,517",
NSW,2325,"11,617","25,486","32,124","12,254","39,723","51,564","12,367","39,859","51,785","12,663","40,309","51,542","12,941","41,167","51,513",
NSW,2326,"3,116","25,220","29,502","3,240","39,807","48,591","3,262","40,560","49,218","3,345","41,515","48,823","3,529","42,393","49,478",
NSW,2327,"3,627","25,508","30,234","3,372","39,889","47,286","3,393","39,750","46,636","3,496","40,475","46,741","3,597","41,288","47,311",
NSW,2328,"1,355","29,189","34,733","1,367","41,812","53,537","1,307","42,681","57,011","1,306","42,967","56,817","1,307","43,308","56,492",
NSW,2329,"1,094","24,300","29,521","1,041","34,859","45,167","1,048","36,879","45,535","1,047","37,876","46,225","1,059","36,901","46,901",
NSW,2330,"11,216","30,536","40,151","11,467","49,099","69,191","11,302","48,459","68,274","11,331","48,673","68,441","11,600","48,449","65,462",
NSW,2333,"6,998","30,047","38,356","6,976","48,975","65,689","6,962","48,576","65,465","6,903","48,063","64,296","7,127","47,548","62,192",
NSW,2334,"1,090","28,872","33,880","1,357","45,195","58,004","1,357","44,540","56,720","1,429","45,194","56,175","1,435","47,979","57,869",
NSW,2335,"2,698","29,828","36,789","3,255","47,822","62,978","3,317","47,568","63,538","3,421","47,668","64,850","3,654","48,118","61,897",
NSW,2336,"1,395","27,655","34,211","1,446","43,898","58,791","1,398","45,925","61,319","1,376","47,238","60,934","1,401","46,411","58,592",
NSW,2337,"4,301","28,166","34,486","4,549","40,861","111,407","4,738","39,359","73,352","4,607","42,335","57,627","4,550","43,584","57,016",
NSW,2338,739,"22,243","24,980",678,"33,664","43,584",694,"33,353","43,096",675,"34,320","42,658",705,"34,951","44,174",
NSW,2339,407,"20,471","21,635",399,"31,268","34,727",425,"31,389","40,424",418,"32,881","44,941",415,"35,016","51,860",
NSW,2340,"24,907","27,222","30,961","26,616","39,596","46,318","26,739","40,582","47,775","27,364","42,093","49,230","28,005","42,625","49,877",
NSW,2341,761,"22,089","26,739",623,"32,975","42,324",627,"34,929","42,290",642,"35,603","41,833",666,"37,276","45,163",
NSW,2342,302,"20,977","21,682",285,"30,987","36,009",266,"34,554","40,704",272,"33,958","39,662",270,"38,538","43,289",
NSW,2343,"2,703","23,255","26,282","2,645","34,658","39,942","2,632","36,381","44,049","2,669","38,465","49,264","2,629","39,225","47,799",
NSW,2344,410,"22,213","23,844",422,"35,978","40,723",434,"37,126","39,554",445,"39,263","46,105",433,"40,821","46,396",
NSW,2345,460,"23,451","24,566",452,"35,203","40,109",453,"36,974","41,136",449,"41,500","45,534",424,"40,534","46,202",
NSW,2346,"1,523","19,692","22,440","1,409","33,708","38,368","1,414","35,122","39,767","1,391","36,359","41,180","1,435","35,942","41,383",
NSW,2347,"1,023","21,298","22,042",843,"28,727","31,235",822,"30,787","37,854",853,"33,267","40,763",856,"33,133","41,790",
NSW,2350,"13,529","26,433","30,962","13,591","37,691","46,948","13,650","38,676","48,667","13,853","39,370","49,043","14,071","39,578","49,544",
NSW,2352,"1,435","24,639","27,009","1,404","39,125","44,886","1,456","38,768","44,487","1,454","39,761","46,422","1,517","41,759","46,781",
NSW,2353,499,"22,990","24,982",540,"37,514","41,863",527,"38,918","43,354",553,"38,924","43,573",580,"38,736","44,444",
NSW,2354,"2,272","23,252","26,598","2,143","28,863","32,764","2,183","31,985","37,481","2,163","33,908","41,135","2,165","34,588","41,456",
NSW,2355,304,"19,815","20,755",290,"28,883","33,955",301,"31,395","36,058",315,"32,666","37,538",337,"32,548","36,266",
NSW,2357,"2,286","21,626","25,072","1,984","31,792","38,480","1,996","34,886","43,350","1,971","36,298","46,084","1,973","37,083","45,355",
NSW,2358,"2,245","22,598","26,301","2,070","32,877","37,776","2,092","33,853","40,529","2,099","35,507","41,498","2,110","35,930","44,281",
NSW,2359,372,"17,967","19,765",360,"25,241","27,082",359,"28,371","32,919",373,"27,603","33,514",373,"30,967","36,182",
NSW,2360,"6,990","23,603","26,676","7,146","35,433","39,838","7,078","36,796","41,943","7,268","38,051","43,685","7,303","38,296","44,095",
NSW,2361,441,"14,936","15,668",377,"22,857","25,550",366,"25,212","28,381",385,"26,198","33,253",384,"28,830","33,359",
NSW,2365,"1,958","22,066","24,509","2,000","29,474","37,097","1,940","31,820","35,634","1,945","34,947","39,305","1,969","34,807","40,070",
NSW,2369,371,"19,762","23,434",327,"33,524","36,492",329,"34,518","37,834",332,"34,771","37,317",347,"33,872","37,686",
NSW,2370,"3,952","21,388","24,300","3,745","29,587","34,528","3,680","31,441","36,827","3,708","32,502","38,669","3,718","33,793","39,737",
NSW,2371,563,"18,937","20,965",534,"24,189","29,464",540,"25,667","28,191",530,"26,856","32,356",550,"27,422","32,134",
NSW,2372,"2,541","20,657","22,889","2,477","28,181","34,311","2,456","28,975","34,129","2,478","29,346","36,408","2,446","29,356","35,875",
NSW,2379,227,"18,361","17,854",210,"22,936","36,455",204,"27,368","43,053",209,"33,913","77,296",201,"37,357","50,833",
NSW,2380,"5,370","22,631","26,479","5,480","39,719","50,155","5,558","41,057","52,947","5,608","42,676","54,990","5,720","43,885","55,944",
NSW,2381,672,"20,917","25,344",608,"37,145","45,814",612,"39,313","47,645",612,"38,847","48,313",635,"42,301","54,950",
NSW,2382,770,"20,009","22,776",713,"35,140","44,193",674,"38,086","48,429",678,"39,212","47,914",724,"37,642","49,179",
NSW,2386,228,"20,302","12,185",219,"25,192","8,428",208,"26,467","20,666",216,"34,008","23,641",223,"37,668","43,925",
NSW,2388,"1,704","22,800","26,012","1,496","37,005","43,242","1,448","35,912","41,497","1,389","39,494","45,085","1,391","40,669","47,232",
NSW,2390,"5,052","25,132","28,584","4,881","40,951","49,819","4,813","40,890","53,792","4,801","42,588","51,779","4,878","44,286","53,966",
NSW,2395,344,"19,552","21,680",270,"24,118","27,787",260,"28,704","33,112",261,"26,574","36,160",276,"29,262","37,040",
NSW,2396,459,"18,532","19,904",414,"30,004","35,728",418,"31,866","37,624",397,"35,559","40,639",406,"37,245","43,110",
