id,name,latitude,longitude,morning_peak,afternoon_peak
10290,Seven Hills Station,-33.77443043,150.9365134,7-9am,4-6.30pm
10291,Shellharbour Junction Station,-34.59128255,150.84472730000002,6-8am,4-6.30pm
10292,Singleton Station,-32.57177047,151.1651707,No peak,4-6.30pm
10293,Springwood Station,-33.6988416,150.56397990000002,6-8am,4-6.30pm
10294,St James Station,-33.87069742,151.2118374,7-9am,4-6.30pm
10295,St Leonards Station,-33.82238888,151.19412680000002,7-9am,4-6.30pm
10296,St Marys Station,-33.76225585,150.776029,7-9am,4-6.30pm
10297,St Peters Station,-33.9073952,151.1802675,7-9am,4-6.30pm
10298,Stanmore Station,-33.89454885,151.1640093,7-9am,4-6.30pm
10299,Stanwell Park Station,-34.22658642,150.98093799999998,6-8am,4-6.30pm
10300,Strathfield Station,-33.871810499999995,151.0944271,7-9am,4-6.30pm
10301,Stuart Town Station,-32.801192,149.07832,No peak,No peak
10302,Summer Hill Station,-33.89056077,151.1394451,7-9am,4-6.30pm
10303,Sutherland Station,-34.03178692,151.05719009999999,7-9am,4-6.30pm
10304,Sydenham Station,-33.9143732,151.1666456,7-9am,4-6.30pm
10305,Tahmoor Station,-34.22367667,150.5899106,6-8am,4-6.30pm
10306,Tallong Station,-34.7183306,150.08650569999998,6-7.30am,4-6.30pm
10307,Tamworth Station,-31.087262,150.930848,No peak,No peak
10308,Tarago Station,-35.069961,149.651365,No peak,No peak
10309,Tarana Station,-33.524107,149.907594,No peak,No peak
10310,Taree Station,-31.906437,152.456963,No peak,No peak
10311,Tarro Station,-32.80930922,151.6699415,6-7am,4-6.30pm
10312,Tascott Station,-33.45135695,151.318056,6-8am,4-6.30pm
10313,Telarah Station,-32.72391026,151.53963480000002,6-7am,4-6.30pm
10314,Telopea Station,-33.79367445,151.041563,7-9am,4-6.30pm
10315,Tempe Station,-33.92450473,151.15650730000002,7-9am,4-6.30pm
10316,Teralba Station,-32.96271245,151.60345780000003,6-7.30am,4-6.30pm
10317,The Rock Station,-35.271764000000005,147.118301,No peak,No peak
10318,Thirroul Station,-34.3184244,150.91865239999998,6-8am,4-6.30pm
10319,Thornleigh Station,-33.73187120000001,151.078281,7-9am,4-6.30pm
10320,Thornton Station,-32.78359464,151.63983080000003,6-7am,4-6.30pm
10321,Toongabbie Station,-33.787263,150.9514373,7-9am,4-6.30pm
10322,Town Hall Station,-33.87359633,151.2068993,7-9am,4-6.30pm
10323,Towradgi Station,-34.38468632,150.9012389,6-8am,4-6.30pm
10324,Tuggerah Station,-33.30808648,151.4201526,6-8am,4-6.30pm
10325,Turramurra Station,-33.73218221,151.12828180000002,7-9am,4-6.30pm
10326,Turrella Station,-33.92995296,151.13990900000002,7-9am,4-6.30pm
10327,Unanderra Station,-34.45442878,150.8462629,6-8am,4-6.30pm
10328,Uralla Station,-30.644076000000002,151.505202,No peak,No peak
10329,Urunga Station,-30.499655999999998,153.018678,No peak,No peak
10330,Valley Heights Station,-33.70446573,150.583813,6-8am,4-6.30pm
10331,Victoria Street Station,-32.75095775,151.5938259,6-7am,4-6.30pm
10332,Villawood Station,-33.88090168,150.9760479,7-9am,4-6.30pm
10333,Vineyard Station,-33.65050415,150.85124580000002,7-9am,4-6.30pm
10334,Wagga Wagga Station,-35.120418,147.36845,No peak,No peak
10335,Wahroonga Station,-33.717429200000005,151.11689230000002,7-9am,4-6.30pm
10336,Waitara Station,-33.70999326,151.10434109999997,7-9am,4-6.30pm
10337,Walcha Road Station,-30.940997999999997,151.40216999999998,No peak,No peak
10338,Wallarobba Station,-32.49613996,151.69567980000002,No peak,4-6.30pm
10339,Warabrook Station,-32.88705464,151.7098902,6-7am,4-6.30pm
10340,Waratah Station,-32.90276555,151.73167080000002,6-7am,4-6.30pm
10341,Warnervale Station,-33.24755931,151.44856230000002,6-8am,4-6.30pm
10342,Warrawee Station,-33.72428546,151.1217568,7-9am,4-6.30pm
10343,Warrimoo Station,-33.72119644,150.6019792,6-8am,4-6.30pm
10344,Warwick Farm Station,-33.91344996,150.9350364,7-9am,4-6.30pm
10345,Waterfall Station,-34.13438522,150.9945115,7-9am,4-6.30pm
10346,Wauchope Station,-31.455909000000002,152.736526,No peak,No peak
10347,Waverton Station,-33.83824525,151.1978555,7-9am,4-6.30pm
10348,Wellington Station,-32.554035999999996,148.946832,No peak,No peak
10349,Wentworth Falls Station,-33.70947192,150.37631140000002,6-7.45am,4-6.30pm
10350,Wentworthville Station,-33.80719295,150.97263759999998,7-9am,4-6.30pm
10351,Werrington Station,-33.7592923,150.7583397,7-9am,4-6.30pm
10352,Werris Creek Station,-31.350139000000002,150.64646399999998,No peak,No peak
10353,West Ryde Station,-33.80717213,151.0902289,7-9am,4-6.30pm
10354,Westmead Station,-33.80852937,150.9880115,7-9am,4-6.30pm
10355,Wiley Park Station,-33.92300854,151.06727619999998,7-9am,4-6.30pm
10356,Willow Tree Station,-31.650065,150.726123,No peak,No peak
10357,Windsor Station,-33.61392767,150.811408,7-9am,4-6.30pm
10358,Wingello Station,-34.69218018,150.15838540000001,6-8am,4-6.30pm
10359,Wingham Station,-31.868090000000002,152.367636,No peak,No peak
10360,Wirragulla Station,-32.4617735,151.743457,No peak,4-6.30pm
10361,Wolli Creek Station,-33.92854683,151.1541132,7-9am,4-6.30pm
10362,Wollongong Station,-34.42701617,150.88824309999998,6-8am,4-6.30pm
10363,Wollstonecraft Station,-33.83179487,151.191895,7-9am,4-6.30pm
10364,Wombarra Station,-34.27593294,150.953145,6-8am,4-6.30pm
10365,Wondabyne Station,-33.49213536,151.2570108,6-8am,4-6.30pm
10366,Woodford Station,-33.73544928,150.48191740000001,6-8am,4-6.30pm
10367,Woolooware Station,-34.04771809,151.14399530000003,7-9am,4-6.30pm
10368,Woonona Station,-34.35023047,150.9149538,6-8am,4-6.30pm
10369,Woy Woy Station,-33.48511249,151.3236239,6-8am,4-6.30pm
10370,Wyee Station,-33.18044789,151.48711980000002,6-8am,4-6.30pm
10371,Wynyard Station,-33.86589799,151.20578930000002,7-9am,4-6.30pm
10372,Wyong Station,-33.28547923,151.42525619999998,6-8am,4-6.30pm
10373,Yagoona Station,-33.90655337,151.02415190000002,7-9am,4-6.30pm
10374,Yass Junction,-34.808995,148.915387,No peak,No peak
10375,Yennora Station,-33.8647184,150.9710073,7-9am,4-6.30pm
10376,Yerrinbool Station,-34.37174006,150.5434957,6-8am,4-6.30pm
